trueLabel,bestAnswer,score
0,0,1.754081E-2
0,0,7.974942E-3
0,0,9.429756E-5
0,0,4.150079E-4
0,0,1.085298E-2
0,0,2.857213E-2
0,0,1.472127E-2
0,0,2.90394E-2
0,0,4.904784E-5
0,0,1.449562E-3
0,0,3.829302E-2
0,0,6.40247E-3
0,0,1.265475E-1
0,0,5.730179E-5
0,0,1.899335E-3
0,0,8.715777E-2
0,0,4.104557E-3
0,0,7.081742E-5
0,0,5.763524E-3
0,0,1.859334E-4
0,0,2.828777E-2
0,0,6.196305E-3
0,0,1.725328E-3
0,0,4.247679E-2
0,0,2.541855E-3
0,0,1.096942E-2
0,0,4.668447E-2
0,0,4.525885E-3
0,0,5.632924E-2
0,0,1.087539E-2
0,0,3.258104E-3
0,0,3.868059E-2
0,0,5.176897E-3
0,0,1.710792E-2
0,0,1.236061E-2
0,0,2.148426E-2
0,0,2.882786E-2
0,0,3.088294E-1
0,0,1.957041E-1
0,0,6.592426E-3
0,0,3.287518E-2
0,0,3.552307E-3
0,0,2.156672E-4
0,0,3.393542E-1
0,0,4.395072E-2
0,0,2.506973E-2
0,0,8.258348E-3
0,0,8.451768E-3
0,0,6.469422E-3
0,0,2.371948E-2
0,0,5.842797E-2
0,0,9.163328E-2
0,0,5.053588E-3
0,1,6.617855E-1
0,0,9.930314E-3
0,0,3.994477E-3
0,0,1.180722E-2
0,0,3.773998E-5
0,0,2.246216E-3
0,0,2.218581E-1
0,0,6.718516E-3
0,1,6.491324E-1
0,0,2.645808E-3
0,0,4.361322E-2
0,0,5.806751E-2
0,0,3.908443E-3
0,0,7.700525E-2
0,0,5.371097E-2
0,0,2.160398E-2
0,0,1.501728E-3
0,0,4.043856E-3
0,0,3.357826E-3
0,0,2.5736E-3
0,0,8.953059E-3
0,0,9.970435E-3
0,0,4.297188E-3
0,0,4.06725E-3
0,0,3.432261E-2
0,0,5.652946E-2
0,0,3.657877E-2
0,0,4.236449E-2
0,0,1.261942E-2
0,0,1.846661E-3
1,0,4.085943E-1
0,0,1.615883E-2
0,0,1.616451E-1
1,0,2.014107E-1
1,0,4.225512E-1
0,0,1.736676E-2
0,0,8.872304E-3
0,0,4.698225E-4
0,0,1.831738E-2
0,0,1.574361E-1
0,0,1.898884E-3
0,0,2.620786E-3
0,0,5.973659E-2
0,0,4.748442E-3
0,0,5.407025E-3
0,0,1.226027E-2
0,0,7.758302E-2
0,0,2.019674E-2
0,0,7.332985E-3
0,0,1.390782E-2
0,0,1.40508E-4
0,0,1.067257E-1
0,0,9.376642E-3
0,0,3.33242E-2
0,0,1.36171E-4
0,0,2.257536E-1
0,0,4.428343E-1
0,0,1.705037E-2
0,0,1.618158E-2
0,0,4.519813E-3
0,0,9.9166E-3
0,0,2.204114E-2
0,0,1.215174E-2
0,0,2.331141E-1
0,0,3.211988E-2
0,0,5.89758E-3
0,0,1.244731E-3
0,0,5.651511E-2
0,0,4.824594E-4
0,0,4.605751E-3
0,0,5.298008E-3
0,0,5.323385E-3
0,0,1.145586E-2
0,0,7.996193E-4
0,0,4.915076E-4
0,0,3.037348E-3
1,0,1.01217E-1
0,0,1.087541E-1
0,0,3.280166E-2
0,0,8.264106E-3
0,0,3.938207E-3
0,0,4.474504E-3
0,0,6.261435E-3
0,0,6.880969E-3
0,0,3.569664E-4
0,0,1.019059E-1
0,0,3.997576E-2
0,0,4.533422E-3
0,0,8.20731E-2
0,0,5.57524E-5
0,0,6.978281E-3
0,0,6.154491E-3
0,0,1.078124E-3
0,0,3.806455E-3
0,0,1.378913E-2
0,0,2.786924E-2
0,0,5.165033E-2
0,0,1.178524E-3
0,0,1.729258E-1
0,0,2.66933E-2
0,0,9.714057E-4
0,0,3.058757E-3
0,0,5.418244E-3
0,0,3.922985E-5
0,0,4.533763E-2
0,0,1.283172E-3
0,0,3.538331E-3
0,0,2.090478E-3
0,0,1.308647E-2
0,0,1.937612E-2
0,0,1.105876E-1
0,0,3.499077E-2
0,0,2.233928E-2
0,0,4.547763E-3
0,0,8.124999E-2
1,0,3.513456E-1
0,0,3.41325E-3
0,0,1.906053E-1
0,0,2.337521E-2
0,0,1.017674E-2
0,0,1.142309E-2
0,0,6.58754E-3
0,0,2.772218E-1
0,0,4.147876E-3
0,0,2.483901E-4
0,0,1.872147E-1
0,0,1.648793E-1
0,0,2.758923E-2
0,0,3.214923E-1
0,0,2.327702E-1
0,0,6.780905E-2
0,0,7.187226E-3
0,0,1.292652E-3
0,0,2.599555E-2
0,0,6.547382E-2
0,0,1.280224E-2
0,0,1.042412E-1
0,0,1.568284E-2
0,0,6.375455E-3
0,0,7.676728E-3
0,0,1.048694E-3
0,0,1.958812E-2
0,0,1.565378E-2
0,0,5.271649E-2
0,0,2.074675E-2
0,0,3.457503E-2
0,0,8.860153E-3
0,0,6.539363E-2
0,0,3.743185E-2
0,0,5.082339E-2
0,0,3.664704E-1
0,0,8.688993E-2
0,0,3.306462E-2
0,0,4.821051E-4
0,0,1.229236E-1
0,0,7.280892E-2
0,0,4.457141E-2
0,0,2.736102E-2
0,0,7.59495E-2
0,0,4.699697E-2
0,0,1.66897E-2
0,0,3.34467E-2
0,0,4.506307E-2
0,0,5.056424E-3
0,0,2.161649E-2
0,0,2.715971E-3
0,0,1.659921E-3
0,0,1.569862E-2
0,0,7.356192E-3
0,0,2.898491E-2
0,0,3.333998E-3
0,0,4.288962E-1
0,0,2.908328E-3
0,0,4.263905E-3
0,0,4.822324E-4
0,0,9.339578E-3
0,0,2.848758E-2
0,0,1.006839E-4
0,0,2.280794E-1
0,0,6.667078E-2
0,0,2.070272E-3
0,0,1.178484E-2
0,0,2.769135E-4
0,0,2.318951E-2
0,0,2.445713E-4
0,0,5.442377E-2
0,0,1.622918E-1
0,0,3.387091E-3
0,0,7.749899E-2
0,0,4.462815E-3
0,0,3.116636E-3
0,0,7.700453E-2
0,0,1.141594E-1
0,0,3.898458E-3
0,0,4.392194E-4
0,0,9.603478E-2
0,1,5.174372E-1
0,0,1.025525E-3
0,0,2.997424E-3
0,0,6.910082E-3
0,0,4.095643E-2
0,0,9.002945E-3
0,0,2.846E-2
0,0,1.017444E-3
0,0,7.470801E-4
0,0,1.279621E-2
0,0,6.882903E-3
0,0,1.95385E-1
0,0,5.137091E-3
0,0,1.420198E-2
0,0,1.579208E-3
0,0,5.682116E-3
0,0,2.348117E-3
0,0,9.804075E-3
0,0,3.741206E-1
0,0,1.491194E-3
0,0,3.067121E-2
1,0,8.740465E-2
0,0,1.818356E-1
0,0,5.926143E-5
0,0,6.184863E-3
0,0,2.443344E-3
0,0,1.326045E-2
0,0,4.510882E-2
0,0,7.075246E-2
0,0,6.24341E-4
0,0,1.322814E-2
0,0,5.149187E-2
0,0,2.998828E-4
0,0,8.158149E-2
0,0,1.562214E-3
0,0,1.636207E-4
0,0,2.769197E-2
0,0,9.164845E-3
0,0,2.348938E-4
0,0,3.159438E-2
0,0,2.789558E-3
0,0,5.027492E-3
0,0,2.132062E-1
0,0,1.065345E-1
0,0,1.14272E-2
0,0,4.011668E-2
0,0,2.325819E-2
0,0,2.668837E-2
0,0,9.139007E-2
0,0,7.534977E-3
0,0,1.754703E-4
0,0,2.773328E-3
0,0,1.039175E-2
0,0,1.13315E-2
0,0,1.168139E-2
0,0,1.455159E-2
0,0,2.969908E-2
0,0,4.406687E-3
0,0,1.405745E-3
0,0,4.029849E-3
0,0,1.23297E-3
0,0,5.190901E-3
0,0,2.699635E-3
0,0,1.330749E-2
0,0,2.192306E-2
0,0,2.29786E-2
0,0,2.660269E-2
0,0,1.104041E-2
0,0,2.035679E-2
0,0,7.006543E-3
0,0,1.965062E-1
0,0,1.96369E-3
0,0,4.085915E-2
0,0,8.279693E-3
0,0,9.240692E-3
0,0,2.042025E-2
0,0,1.40788E-2
0,0,7.323192E-3
0,0,1.312599E-2
0,0,1.82391E-3
0,0,2.321602E-2
0,0,1.597575E-1
0,0,3.582361E-2
0,0,7.686161E-3
0,0,3.634986E-3
0,0,4.504698E-2
0,0,2.660609E-2
0,0,3.981231E-2
0,0,6.841559E-3
0,0,5.838204E-2
0,0,8.231803E-3
0,0,7.335779E-3
